SMILES,Name,Cluster
O=C(O)CCCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@H]2N1c1ccccc1Cl,101299099,2
O=C(O)CCCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1cccc(Cl)c1,101300891,2
CC(C)c1ccccc1N1/C(=N\C(=O)CCC(=O)O)S[C@@H]2CS(=O)(=O)C[C@@H]21,101316582,2
CC[C@H](C)C(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1ccc(OC)cc1OC,32507004,5
CC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@H]2N1c1ccc(Br)cc1F,101061327,5
CCCCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1ccc(OC)cc1OC,32506940,5
CC(C)c1ccc(N2/C(=N\C(=O)CCC(=O)O)S[C@H]3CS(=O)(=O)C[C@@H]32)cc1,101302222,2
N#CCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@H]2N1c1cccc(C(F)(F)F)c1,101311451,5
O=C(/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1cccc(Br)c1)C1CC1,101104072,5
CC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@H]2N1c1ccc(Br)cc1F,101061330,5
N#CCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@H]2N1c1cccc(C(F)(F)F)c1,101311445,5
COCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@H]2N1c1cc(Cl)ccc1Cl,101315913,5
CC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1ccc(Br)cc1F,101061329,5
COCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@H]2N1c1ccc(Cl)cc1Cl,101308834,5
O=C(O)CCCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@H]2N1c1cccc(Cl)c1,101300892,2
Cc1cccc(C)c1N1/C(=N\C(=O)CCCC(=O)O)S[C@H]2CS(=O)(=O)C[C@H]21,101309900,2
CC[C@@H](C)C(=O)/N=C1\S[C@H]2CS(=O)(=O)C[C@@H]2N1c1ccc2c(c1)OCCO2,5267305,5
CC[C@H](C)C(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1cc(OC)ccc1OC,32504192,5
CCCCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@H]2N1c1cc(OC)ccc1OC,32504128,5
COc1ccc(N2/C(=N\C(=O)C3CC3)S[C@H]3CS(=O)(=O)C[C@H]32)cc1Cl,101316299,5
CCCCOc1cccc(N2/C(=N\C(=O)COC)S[C@H]3CS(=O)(=O)C[C@H]32)c1,101310526,5
COc1ccc(N2/C(=N\C(=O)CC(C)C)S[C@H]3CS(=O)(=O)C[C@@H]32)c(OC)c1,5341735,5
O=C(/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1ccc(Br)cc1)C1CC1,101075778,5
CCCCOc1cccc(N2/C(=N\C(=O)COC)S[C@@H]3CS(=O)(=O)C[C@H]32)c1,101310530,5
COc1ccc(OC)c(N2/C(=N\C(=O)CC(C)C)S[C@@H]3CS(=O)(=O)C[C@H]32)c1,101304577,5
CCCCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@H]2N1c1ccc(OC)cc1OC,32506942,5
O=C(/N=C1/S[C@@H]2CS(=O)(=O)C[C@H]2N1c1cccc(Br)c1)C1CC1,101104075,5
CC[C@@H](C)C(=O)/N=C1\S[C@H]2CS(=O)(=O)C[C@H]2N1c1ccc2c(c1)OCCO2,5267300,5
O=C(/N=C1/S[C@@H]2CS(=O)(=O)C[C@H]2N1c1ccc(Br)cc1)C1CC1,101075779,5
O=C(/N=C1\S[C@H]2CS(=O)(=O)C[C@@H]2N1c1ccc(Cl)cc1)[C@H]1CCCO1,105350032,5
Cc1ccc(C)c(N2/C(=N\C(=O)CCCC(=O)O)S[C@H]3CS(=O)(=O)C[C@H]32)c1,101312903,2
O=C(O)CCCC(=O)/N=C1\S[C@H]2CS(=O)(=O)C[C@@H]2N1c1cccc(Cl)c1,5489342,2
O=C(COc1ccccc1)/N=C1\S[C@H]2CS(=O)(=O)C[C@H]2N1c1ccccc1,95915227,5
CCN(CC)c1ccc(N2/C(=N/C(=O)CC#N)S[C@@H]3CS(=O)(=O)C[C@H]32)cc1,6659764,5
COc1ccc(OC)c(N2/C(=N/C(=O)CC(C)C)S[C@@H]3CS(=O)(=O)C[C@H]32)c1,5377396,5
O=C(COc1ccccc1)/N=C1\S[C@@H]2CS(=O)(=O)C[C@H]2N1c1ccccc1,5302799,5
Cc1cc(C)c(N2/C(=N/C(=O)CCCC(=O)O)S[C@@H]3CS(=O)(=O)C[C@@H]32)c(C)c1,6498697,2
O=C(/N=C1\S[C@H]2CS(=O)(=O)C[C@H]2N1c1ccc(Br)cc1)C1CC1,8994067,5
Cc1ccc(Cl)cc1N1/C(=N/C(=O)CCC(=O)O)S[C@@H]2CS(=O)(=O)C[C@@H]21,5516513,2
COCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1ccc(Cl)c(Cl)c1,101314497,5
CC(C)(C)CC(=O)/N=C1\S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1ccc2c(c1)OCO2,5345036,5
COCC(=O)/N=C1\S[C@@H]2CS(=O)(=O)C[C@H]2N1c1cc(Cl)cc(Cl)c1,5323577,5
CCC(CC)C(=O)/N=C1\S[C@@H]2CS(=O)(=O)C[C@H]2N1c1ccc2c(c1)OCCO2,9242781,5
CCC(CC)C(=O)/N=C1\S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1ccc2c(c1)OCCO2,9243812,5
Cc1cc(C)c(N2/C(=N/C(=O)CCCC(=O)O)S[C@H]3CS(=O)(=O)C[C@@H]32)c(C)c1,13115544,2
